layer,emotion,f1,baseline_f1,retention
0,admiration,0.7301905717151455,0.7565392354124748,0.9651721120809237
0,amusement,0.8576923076923076,0.8528864059590316,1.0
0,anger,0.5393939393939394,0.5501432664756447,0.9804608585858586
0,annoyance,0.38271604938271603,0.4112903225806452,0.9305252965383684
0,approval,0.5266558966074314,0.5550239234449761,0.9488886413013203
0,caring,0.5244444444444445,0.5423728813559322,0.9669444444444445
0,confusion,0.5434782608695652,0.5128205128205128,1.0
0,curiosity,0.6895306859205776,0.7065217391304348,0.9759511246875868
0,desire,0.5528455284552846,0.5354330708661418,1.0
0,disappointment,0.2857142857142857,0.2751322751322751,1.0
0,disapproval,0.5333333333333333,0.5265306122448979,1.0
0,disgust,0.4685714285714286,0.5212765957446809,0.8988921282798834
0,embarrassment,0.0,0.26666666666666666,0.0
0,excitement,0.41509433962264153,0.4539877300613497,0.9143294237633861
0,fear,0.6938775510204082,0.7096774193548387,0.9777365491651205
0,gratitude,0.927536231884058,0.9273255813953488,1.0
0,joy,0.6048109965635738,0.6326530612244898,0.9559915752133908
0,love,0.8242677824267782,0.8155737704918032,1.0
0,optimism,0.5678233438485805,0.573170731707317,0.9906705147996511
0,realization,0.29591836734693877,0.2708333333333333,1.0
0,remorse,0.6727272727272727,0.6722689075630253,1.0
0,sadness,0.5692307692307692,0.6319702602230484,0.9007239819004524
0,surprise,0.5657370517928287,0.5714285714285714,0.9900398406374503
1,admiration,0.7390438247011952,0.7565392354124748,0.9768744172247182
1,amusement,0.8582230623818525,0.8528864059590316,1.0
1,anger,0.5288753799392097,0.5501432664756447,0.9613411854103343
1,annoyance,0.38461538461538464,0.4112903225806452,0.9351432880844646
1,approval,0.5525902668759811,0.5550239234449761,0.9956152222162074
1,caring,0.5086206896551724,0.5423728813559322,0.9377693965517241
1,confusion,0.5309090909090909,0.5128205128205128,1.0
1,curiosity,0.6976744186046512,0.7065217391304348,0.9874776386404294
1,desire,0.5396825396825397,0.5354330708661418,1.0
1,disappointment,0.2639593908629442,0.2751322751322751,0.9593908629441625
1,disapproval,0.5387755102040817,0.5265306122448979,1.0
1,disgust,0.47126436781609193,0.5212765957446809,0.9040581749941355
1,embarrassment,0.15,0.26666666666666666,0.5625
1,excitement,0.4779874213836478,0.4539877300613497,1.0
1,fear,0.7114093959731543,0.7096774193548387,1.0
1,gratitude,0.9302325581395349,0.9273255813953488,1.0
1,joy,0.6028368794326241,0.6326530612244898,0.9528711965225348
1,love,0.8074534161490683,0.8155737704918032,0.9900433846249883
1,optimism,0.5911949685534591,0.573170731707317,1.0
1,realization,0.24338624338624337,0.2708333333333333,0.8986568986568987
1,remorse,0.6885245901639344,0.6722689075630253,1.0
1,sadness,0.59375,0.6319702602230484,0.9395220588235293
1,surprise,0.5612648221343873,0.5714285714285714,0.9822134387351779
2,admiration,0.7522388059701492,0.7565392354124748,0.9943156557637346
2,amusement,0.8473282442748091,0.8528864059590316,0.9934831161038701
2,anger,0.5301204819277109,0.5501432664756447,0.9636044176706828
2,annoyance,0.39669421487603307,0.4112903225806452,0.9645114244044725
2,approval,0.532695374800638,0.5550239234449761,0.9597701149425288
2,caring,0.5,0.5423728813559322,0.921875
2,confusion,0.5195729537366548,0.5128205128205128,1.0
2,curiosity,0.7014388489208633,0.7065217391304348,0.9928057553956834
2,desire,0.5538461538461539,0.5354330708661418,1.0
2,disappointment,0.25906735751295334,0.2751322751322751,0.9416102032682343
2,disapproval,0.5369649805447471,0.5265306122448979,1.0
2,disgust,0.4772727272727273,0.5212765957446809,0.9155844155844156
2,embarrassment,0.10256410256410256,0.26666666666666666,0.3846153846153846
2,excitement,0.49696969696969695,0.4539877300613497,1.0
2,fear,0.6802721088435374,0.7096774193548387,0.9585652442795299
2,gratitude,0.9246376811594202,0.9273255813953488,0.9971014492753623
2,joy,0.6197183098591549,0.6326530612244898,0.9795547478418899
2,love,0.8223140495867769,0.8155737704918032,1.0
2,optimism,0.5642633228840125,0.573170731707317,0.9844594143933836
2,realization,0.25263157894736843,0.2708333333333333,0.9327935222672066
2,remorse,0.6491228070175439,0.6722689075630253,0.9655701754385965
2,sadness,0.5849802371541502,0.6319702602230484,0.9256451987909787
2,surprise,0.5900383141762452,0.5714285714285714,1.0
3,admiration,0.7432150313152401,0.7565392354124748,0.9823879536267935
3,amusement,0.8425047438330171,0.8528864059590316,0.9878276144941707
3,anger,0.5393939393939394,0.5501432664756447,0.9804608585858586
3,annoyance,0.37681159420289856,0.4112903225806452,0.9161693662972435
3,approval,0.521311475409836,0.5550239234449761,0.9392594686263425
3,caring,0.5045871559633027,0.5423728813559322,0.9303325688073394
3,confusion,0.5536332179930796,0.5128205128205128,1.0
3,curiosity,0.6885245901639344,0.7065217391304348,0.9745271122320303
3,desire,0.5555555555555556,0.5354330708661418,1.0
3,disappointment,0.29441624365482233,0.2751322751322751,1.0
3,disapproval,0.5104602510460251,0.5265306122448979,0.9694787713664819
3,disgust,0.532608695652174,0.5212765957446809,1.0
3,embarrassment,0.10256410256410256,0.26666666666666666,0.3846153846153846
3,excitement,0.4258064516129032,0.4539877300613497,0.9379250217959895
3,fear,0.6758620689655173,0.7096774193548387,0.9523510971786834
3,gratitude,0.9233038348082596,0.9273255813953488,0.9956630695111013
3,joy,0.6258503401360545,0.6326530612244898,0.989247311827957
3,love,0.828,0.8155737704918032,1.0
3,optimism,0.5899705014749262,0.573170731707317,1.0
3,realization,0.23529411764705882,0.2708333333333333,0.8687782805429864
3,remorse,0.6724137931034483,0.6722689075630253,1.0
3,sadness,0.5647058823529412,0.6319702602230484,0.8935640138408304
3,surprise,0.5791505791505791,0.5714285714285714,1.0
4,admiration,0.7411273486430062,0.7565392354124748,0.9796284369031226
4,amusement,0.8522072936660269,0.8528864059590316,0.9992037482503415
4,anger,0.5443786982248521,0.5501432664756447,0.9895216962524654
4,annoyance,0.3861788617886179,0.4112903225806452,0.9389446835644827
4,approval,0.5412130637636081,0.5550239234449761,0.9751166407465008
4,caring,0.4890829694323144,0.5423728813559322,0.9017467248908296
4,confusion,0.5239852398523985,0.5128205128205128,1.0
4,curiosity,0.7027027027027027,0.7065217391304348,0.9945945945945946
4,desire,0.5891472868217055,0.5354330708661418,1.0
4,disappointment,0.25806451612903225,0.2751322751322751,0.9379652605459058
4,disapproval,0.5169491525423728,0.5265306122448979,0.9818026540533438
4,disgust,0.5251396648044693,0.5212765957446809,1.0
4,embarrassment,0.27906976744186046,0.26666666666666666,1.0
4,excitement,0.46706586826347307,0.4539877300613497,1.0
4,fear,0.6993006993006993,0.7096774193548387,0.9853782581055307
4,gratitude,0.9298245614035088,0.9273255813953488,1.0
4,joy,0.6275862068965518,0.6326530612244898,0.9919911012235818
4,love,0.819672131147541,0.8155737704918032,1.0
4,optimism,0.5861027190332326,0.573170731707317,1.0
4,realization,0.2564102564102564,0.2708333333333333,0.9467455621301775
4,remorse,0.6608695652173913,0.6722689075630253,0.9830434782608695
4,sadness,0.6046511627906976,0.6319702602230484,0.9567715458276332
4,surprise,0.5625,0.5714285714285714,0.984375
5,admiration,0.7266811279826464,0.7565392354124748,0.9605332994877002
5,amusement,0.845437616387337,0.8528864059590316,0.9912663755458515
5,anger,0.5406976744186046,0.5501432664756447,0.9828306686046511
5,annoyance,0.38415841584158417,0.4112903225806452,0.934032226752087
5,approval,0.5478547854785478,0.5550239234449761,0.9870831910777284
5,caring,0.5422222222222223,0.5423728813559322,0.9997222222222223
5,confusion,0.5193798449612403,0.5128205128205128,1.0
5,curiosity,0.6944971537001897,0.7065217391304348,0.9829805867756531
5,desire,0.5692307692307692,0.5354330708661418,1.0
5,disappointment,0.29292929292929293,0.2751322751322751,1.0
5,disapproval,0.5087719298245614,0.5265306122448979,0.9662722698218416
5,disgust,0.4918032786885246,0.5212765957446809,0.9434593509534961
5,embarrassment,0.22727272727272727,0.26666666666666666,0.8522727272727273
5,excitement,0.47560975609756095,0.4539877300613497,1.0
5,fear,0.7105263157894737,0.7096774193548387,1.0
5,gratitude,0.9298245614035088,0.9273255813953488,1.0
5,joy,0.6266666666666667,0.6326530612244898,0.9905376344086022
5,love,0.8309572301425662,0.8155737704918032,1.0
5,optimism,0.5619335347432024,0.573170731707317,0.9803946776370767
5,realization,0.29015544041450775,0.2708333333333333,1.0
5,remorse,0.6935483870967742,0.6722689075630253,1.0
5,sadness,0.6273062730627307,0.6319702602230484,0.992619926199262
5,surprise,0.5418326693227091,0.5714285714285714,0.948207171314741
6,admiration,0.7290116896918172,0.7565392354124748,0.9636138557894499
6,amusement,0.8438061041292639,0.8528864059590316,0.98935344523453
6,anger,0.5314285714285715,0.5501432664756447,0.9659821428571429
6,annoyance,0.40148698884758366,0.4112903225806452,0.9761644434725563
6,approval,0.5398773006134969,0.5550239234449761,0.9727099640363867
6,caring,0.4857142857142857,0.5423728813559322,0.8955357142857143
6,confusion,0.5056603773584906,0.5128205128205128,0.9860377358490567
6,curiosity,0.7011070110701108,0.7065217391304348,0.992336077206926
6,desire,0.578125,0.5354330708661418,1.0
6,disappointment,0.2,0.2751322751322751,0.726923076923077
6,disapproval,0.49537037037037035,0.5265306122448979,0.9408196956646568
6,disgust,0.4745762711864407,0.5212765957446809,0.910411622276029
6,embarrassment,0.3829787234042553,0.26666666666666666,1.0
6,excitement,0.4161073825503356,0.4539877300613497,0.9165608561581716
6,fear,0.7114093959731543,0.7096774193548387,1.0
6,gratitude,0.9300291545189504,0.9273255813953488,1.0
6,joy,0.6027397260273972,0.6326530612244898,0.9527176314626601
6,love,0.8094218415417559,0.8155737704918032,0.9924569313376304
6,optimism,0.5351170568561873,0.573170731707317,0.9336084821746247
6,realization,0.27692307692307694,0.2708333333333333,1.0
6,remorse,0.6885245901639344,0.6722689075630253,1.0
6,sadness,0.6273062730627307,0.6319702602230484,0.992619926199262
6,surprise,0.563265306122449,0.5714285714285714,0.9857142857142858
7,admiration,0.7337526205450734,0.7565392354124748,0.9698804585396317
7,amusement,0.8544776119402985,0.8528864059590316,1.0
7,anger,0.48,0.5501432664756447,0.8724999999999999
7,annoyance,0.4342105263157895,0.4112903225806452,1.0
7,approval,0.5365126676602087,0.5550239234449761,0.966647823629169
7,caring,0.47804878048780486,0.5423728813559322,0.8814024390243902
7,confusion,0.49372384937238495,0.5128205128205128,0.9627615062761508
7,curiosity,0.6844106463878327,0.7065217391304348,0.9687042995027785
7,desire,0.5409836065573771,0.5354330708661418,1.0
7,disappointment,0.2087912087912088,0.2751322751322751,0.7588757396449705
7,disapproval,0.48072562358276644,0.5265306122448979,0.9130060292850991
7,disgust,0.48314606741573035,0.5212765957446809,0.9268516395322174
7,embarrassment,0.1951219512195122,0.26666666666666666,0.7317073170731707
7,excitement,0.4473684210526316,0.4539877300613497,0.9854196301564723
7,fear,0.6811594202898551,0.7096774193548387,0.9598155467720685
7,gratitude,0.9296187683284457,0.9273255813953488,1.0
7,joy,0.6074074074074074,0.6326530612244898,0.9600955794504181
7,love,0.8094218415417559,0.8155737704918032,0.9924569313376304
7,optimism,0.5435540069686411,0.573170731707317,0.9483282674772037
7,realization,0.25,0.2708333333333333,0.9230769230769231
7,remorse,0.5740740740740741,0.6722689075630253,0.8539351851851851
7,sadness,0.5645161290322581,0.6319702602230484,0.8932637571157496
7,surprise,0.5555555555555556,0.5714285714285714,0.9722222222222223
8,admiration,0.7398720682302772,0.7565392354124748,0.9779691965703399
8,amusement,0.8362235067437379,0.8528864059590316,0.9804629325794482
8,anger,0.40875912408759124,0.5501432664756447,0.7430048661800487
8,annoyance,0.3883089770354906,0.4112903225806452,0.9441237873019771
8,approval,0.5308310991957105,0.5550239234449761,0.9564112045853749
8,caring,0.4742268041237113,0.5423728813559322,0.8743556701030928
8,confusion,0.4434389140271493,0.5128205128205128,0.8647058823529412
8,curiosity,0.6766917293233082,0.7065217391304348,0.9577790630422208
8,desire,0.5203252032520326,0.5354330708661418,0.9717838354854137
8,disappointment,0.16470588235294117,0.2751322751322751,0.5986425339366516
8,disapproval,0.3655913978494624,0.5265306122448979,0.6943402517295991
8,disgust,0.3129251700680272,0.5212765957446809,0.6003054282937664
8,embarrassment,0.05263157894736842,0.26666666666666666,0.19736842105263158
8,excitement,0.4563758389261745,0.4539877300613497,1.0
8,fear,0.6811594202898551,0.7096774193548387,0.9598155467720685
8,gratitude,0.9287833827893175,0.9273255813953488,1.0
8,joy,0.6095890410958904,0.6326530612244898,0.9635439681838267
8,love,0.8170212765957446,0.8155737704918032,1.0
8,optimism,0.5070422535211268,0.573170731707317,0.8846269103985617
8,realization,0.2898550724637681,0.2708333333333333,1.0
8,remorse,0.5274725274725275,0.6722689075630253,0.7846153846153846
8,sadness,0.5714285714285714,0.6319702602230484,0.9042016806722688
8,surprise,0.570281124497992,0.5714285714285714,0.9979919678714859
9,admiration,0.7445708376421923,0.7565392354124748,0.9841800699685362
9,amusement,0.8266129032258065,0.8528864059590316,0.969194604873926
9,anger,0.5079365079365079,0.5501432664756447,0.9232804232804233
9,annoyance,0.4095427435387674,0.4112903225806452,0.9957509842903364
9,approval,0.5274725274725275,0.5550239234449761,0.9503599848427434
9,caring,0.441025641025641,0.5423728813559322,0.8131410256410256
9,confusion,0.4424778761061947,0.5128205128205128,0.8628318584070798
9,curiosity,0.683206106870229,0.7065217391304348,0.9669994128009395
9,desire,0.5,0.5354330708661418,0.9338235294117646
9,disappointment,0.12345679012345678,0.2751322751322751,0.44871794871794873
9,disapproval,0.5180180180180181,0.5265306122448979,0.9838326698791816
9,disgust,0.3333333333333333,0.5212765957446809,0.6394557823129251
9,embarrassment,0.0,0.26666666666666666,0.0
9,excitement,0.4,0.4539877300613497,0.8810810810810812
9,fear,0.656934306569343,0.7096774193548387,0.9256801592568015
9,gratitude,0.9255952380952381,0.9273255813953488,0.9981340498581879
9,joy,0.5432098765432098,0.6326530612244898,0.8586220629231381
9,love,0.8172043010752689,0.8155737704918032,1.0
9,optimism,0.5018181818181818,0.573170731707317,0.8755125725338492
9,realization,0.19393939393939394,0.2708333333333333,0.7160839160839161
9,remorse,0.1016949152542373,0.6722689075630253,0.15127118644067797
9,sadness,0.5617021276595745,0.6319702602230484,0.8888110137672091
9,surprise,0.5175438596491229,0.5714285714285714,0.905701754385965
10,admiration,0.754601226993865,0.7565392354124748,0.9974383239785929
10,amusement,0.8620037807183365,0.8528864059590316,1.0
10,anger,0.5352941176470588,0.5501432664756447,0.9730085784313725
10,annoyance,0.3091334894613583,0.4112903225806452,0.7516186802589888
10,approval,0.5152057245080501,0.5550239234449761,0.9282585898464006
10,caring,0.4931506849315068,0.5423728813559322,0.9092465753424657
10,confusion,0.453781512605042,0.5128205128205128,0.884873949579832
10,curiosity,0.6653696498054474,0.7065217391304348,0.9417539658784794
10,desire,0.48695652173913045,0.5354330708661418,0.909462915601023
10,disappointment,0.24083769633507854,0.2751322751322751,0.8753523962948048
10,disapproval,0.45823389021479716,0.5265306122448979,0.8702891713381806
10,disgust,0.47398843930635837,0.5212765957446809,0.9092839447917894
10,embarrassment,0.05263157894736842,0.26666666666666666,0.19736842105263158
10,excitement,0.37593984962406013,0.4539877300613497,0.8280837228205649
10,fear,0.684931506849315,0.7096774193548387,0.9651307596513075
10,gratitude,0.9329446064139941,0.9273255813953488,1.0
10,joy,0.597864768683274,0.6326530612244898,0.9450120537251749
10,love,0.8157349896480331,0.8155737704918032,1.0
10,optimism,0.5789473684210527,0.573170731707317,1.0
10,realization,0.2,0.2708333333333333,0.7384615384615385
10,remorse,0.5833333333333334,0.6722689075630253,0.8677083333333333
10,sadness,0.6137184115523465,0.6319702602230484,0.971119133574007
10,surprise,0.5655737704918032,0.5714285714285714,0.9897540983606558
11,admiration,0.684085510688836,0.7565392354124748,0.9042300500328498
11,amusement,0.7142857142857143,0.8528864059590316,0.8374922021210232
11,anger,0.3657587548638132,0.5501432664756447,0.6648427367055771
11,annoyance,0.09467455621301775,0.4112903225806452,0.23018911706694511
11,approval,0.25853658536585367,0.5550239234449761,0.465811606391926
11,caring,0.2822085889570552,0.5423728813559322,0.5203220858895705
11,confusion,0.24858757062146894,0.5128205128205128,0.4847457627118645
11,curiosity,0.2782608695652174,0.7065217391304348,0.39384615384615385
11,desire,0.0,0.5354330708661418,0.0
11,disappointment,0.0,0.2751322751322751,0.0
11,disapproval,0.19141914191419143,0.5265306122448979,0.3635479827052473
11,disgust,0.0,0.5212765957446809,0.0
11,embarrassment,0.0,0.26666666666666666,0.0
11,excitement,0.0,0.4539877300613497,0.0
11,fear,0.0,0.7096774193548387,0.0
11,gratitude,0.9090909090909091,0.9273255813953488,0.9803362781419208
11,joy,0.31958762886597936,0.6326530612244898,0.5051546391752577
11,love,0.700507614213198,0.8155737704918032,0.8589138586332679
11,optimism,0.29596412556053814,0.573170731707317,0.516362942467322
11,realization,0.0,0.2708333333333333,0.0
11,remorse,0.0,0.6722689075630253,0.0
11,sadness,0.46153846153846156,0.6319702602230484,0.7303167420814479
11,surprise,0.14473684210526316,0.5714285714285714,0.25328947368421056
